price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
460000000,Carrera 9 C #119 -30,4.697526742098,-74.034272327104,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10923641,6,No reporta,2,82.0,82.0,más de 30 años,2,1,600000.0,4.0,0,10923641
480000000,"Carrera 22 #122, Usaquén, Cundinamarca, Colombia",4.7036476,-74.0522504,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191391307,5,No reporta,2,65.0,65.0,16 a 30 años,2,2,605000.0,3.0,0,191391307
760000000,"Calle 152b #73b-51, Bogotá, Colombia",4.740226,-74.0693576,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191372301,4,No reporta,3,107.0,107.0,9 a 15 años,3,2,500000.0,18.0,0,191372301
1750000000,KR 1 70 94,4.650823,-74.051339,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026395,6,No reporta,5,360.0,360.0,No reporta,5,4,2850000.0,4.0,0,11026395
349000000,Calle 168 No. 65-82,4.7525452,-74.063342,"Portales del norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191591457,4,No reporta,2,74.0,65.0,16 a 30 años,3,1,320500.0,1.0,0,191591457
690000000,Calle 74 2 20,4.6555969941776,-74.050970526486,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191606240,6,No reporta,2,80.0,80.0,más de 30 años,2,1,723000.0,2.0,0,191606240
2180000000,Av Calle 82 # 8 - 61 Edificio Avenida 82 Apto 204,4.665,-74.05,"La cabrera, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11076595,6,Buen estado,4,220.0,220.0,más de 30 años,3,2,1365000.0,No reporta,0,11076595
1590000000,"Barrio Bella Suiza, Bogotá - Usaquén.",4.7074544,-74.0307467,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191503419,6,No reporta,4,200.0,200.0,16 a 30 años,3,2,1500000.0,4.0,0,191503419
153000000,KR 114 148 65 T5 AP 604 CONJ Las Flores,4.75291,-74.101049,"Almendros, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191411358,3,No reporta,1,39.0,39.0,16 a 30 años,2,1,104700.0,6.0,0,191411358
900000000,Calle 135 # 7 - 42,4.7137968,-74.0298106,"Bosques del Marques, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191559492,5,No reporta,4,130.0,130.0,16 a 30 años,3,2,600000.0,12.0,0,191559492
1060000000,CRA 79 128-95,4.7153345672278,-74.08136844635,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191473017,6,No reporta,4,180.0,180.0,16 a 30 años,3,2,1044000.0,No reporta,0,191473017
220000000,Calle 165a,4.7434296,-74.030127,"San cristobal norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11112551,3,No reporta,1,49.0,49.0,más de 30 años,2,1,No reporta,3.0,0,11112551
850000000,Carrera 22 #127 D -80,4.712498466852,-74.051288654752,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11104229,5,No reporta,3,115.0,115.0,16 a 30 años,3,2,850000.0,13.0,0,11104229
300000000,"Cra. 13a #150-25, Bogotá, Colombia",4.730159,-74.036881,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191349696,4,No reporta,2,74.0,74.0,más de 30 años,3,1,397000.0,3.0,0,191349696
1500000000,Carrera 12 No. 101-61,4.6843041725627,-74.044461250305,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10454036,6,No reporta,5,200.0,200.0,1 a 8 años,4,4,1760000.0,6.0,0,10454036
1550000000,Carrera 76A # 131 - 60,4.72692999743248,-74.0755200079063,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10799724,6,No reporta,6,285.0,285.0,16 a 30 años,5,4,1400000.0,8.0,0,10799724
178000000,Calle 152a,4.7542256,-74.0962822,"Plaza Imperial Centro Comercial, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10236505,3,No reporta,1,54.0,54.0,16 a 30 años,3,1,No reporta,No reporta,0,10236505
1130000000,CL 109 # 21 - 10,4.696862498681,-74.053085107904,"San patricio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191363338,6,No reporta,3,127.0,127.0,1 a 8 años,3,2,1033600.0,5.0,0,191363338
3000000000,Carrera 6 #125 -35,4.700290004118,-74.028010039603,"Santa barbara alta, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191640755,6,No reporta,5,289.0,289.0,16 a 30 años,5,3,1200000.0,No reporta,0,191640755
250000000,Calle 144,4.7258658,-74.0422996,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10267320,4,No reporta,1,49.0,49.0,16 a 30 años,2,1,434000.0,2.0,0,10267320
748000000,"Carrera 13 118A-06,",4.6979196,-74.0397046,"Multicentro, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191319465,6,Buen estado,3,129.0,138.0,16 a 30 años,3,2,1038000.0,3.0,0,191319465
1230000000,Calle 96 #21 -75,4.683613795478,-74.051707553787,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191309449,6,No reporta,3,150.0,150.0,9 a 15 años,3,2,1628000.0,4.0,0,191309449
310000000,Calle 32 #5 -33,4.617642008056,-74.066394881376,"San martin, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10793636,3,No reporta,1,41.0,41.0,menor a 1 año,1,1,320000.0,7.0,0,10793636
280000000,"Calle 161 #14b-47, Bogotá, Colombia",4.7393179,-74.0365706,"Toberin, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191632112,4,No reporta,2,54.0,54.0,16 a 30 años,2,1,276000.0,2.0,0,191632112
1550000000,Calle 104# 15-48,4.6895066,-74.0478443,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10640567,6,No reporta,3,175.0,175.0,16 a 30 años,3,3,1650000.0,5.0,0,10640567
1350000000,Calle 120 #20-57,4.70109,-74.05172,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10935793,5,No reporta,3,217.0,217.0,16 a 30 años,3,2,2583000.0,2.0,0,10935793
530000000,CARRERA 7   66- 10,4.6494362,-74.0585932,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191288003,4,No reporta,2,78.0,78.0,más de 30 años,2,1,410000.0,No reporta,0,191288003
1850000000,KR 17A # 127A - 14,4.70678525372091,-74.0456767606689,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10409693,5,No reporta,5,210.0,210.0,9 a 15 años,3,3,No reporta,6.0,0,10409693
690000000,Cra. 19c #86a-67,4.673944,-74.058209,"Barrios Unidos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11058092,5,No reporta,1,53.0,53.0,menor a 1 año,1,1,318000.0,4.0,0,11058092
800000000,"Colina Campestre, Carrera 58, Bogotá, Colombia",4.7213164,-74.0676864,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10463378,5,No reporta,3,165.0,165.0,16 a 30 años,4,2,1000000.0,8.0,0,10463378
980000000,Calle 89 con Cra 11,4.6714566167324,-74.048952435662,"Zona chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191401767,6,No reporta,3,116.0,116.0,No reporta,3,2,No reporta,No reporta,0,191401767
235000000,"Conjunto Acanto Parque Residencial, Calle 70A, Bogotá, Colombia",4.7002648,-74.1169104,"Alamos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10790219,3,No reporta,1,42.0,42.0,menor a 1 año,1,1,No reporta,1.0,0,10790219
1200000000,"Carrera 12 #116-20, Bogotá, Colombia",4.6956938,-74.0389957,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11088719,6,No reporta,4,231.0,231.0,más de 30 años,4,2,1541000.0,4.0,0,11088719
700000000,"Calle 144 #13-41, Bogotá, Colombia",4.7244523,-74.0402123,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191357975,4,No reporta,3,129.0,121.0,9 a 15 años,3,2,685000.0,3.0,0,191357975
4000000000,Calle 26A BisA #3A-804156071,4.610970013128,-74.066000009918,"Chapinero Alto, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10935264,6,No reporta,4,700.0,700.0,1 a 8 años,3,2,No reporta,No reporta,0,10935264
5500000000,Carrera 9 #92-161575443,4.6724899973127,-74.045440039619,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10936587,6,No reporta,4,362.0,362.0,9 a 15 años,3,5,2883995.0,No reporta,0,10936587
289000000,Calle 165 A #8 F -97,4.74298855045,-74.029536970905,"Toberin, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191598617,3,No reporta,2,64.0,64.0,16 a 30 años,3,1,375100.0,3.0,0,191598617
1100000000,Calle 150 Bis # 80-994160744,4.750216506493,-74.09394921282,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10938515,6,No reporta,4,178.0,178.0,9 a 15 años,3,3,969800.0,No reporta,0,10938515
630000000,"Chapinero Alto, Bogotá, Colombia",4.6345839,-74.0615901,"Chapinero Alto, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191373585,4,No reporta,2,72.2,63.42,9 a 15 años,2,1,315000.0,6.0,0,191373585
750000000,CALLE 104A 21-77,4.69173717498779,-74.0548248291016,"San patricio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/6255567,6,Excelente estado,4,119.0,119.0,16 a 30 años,4,2,1200000.0,4.0,0,6255567
2700000000,Diagonal 76 #1-454165346,4.6553724781257,-74.049948355032,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10936026,6,No reporta,4,174.0,174.0,1 a 8 años,3,3,1700000.0,No reporta,0,10936026
550000000,"151-22 Carrera 7A, 506, Bogota",4.725195,-74.02607,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191400866,4,No reporta,4,121.0,121.0,más de 30 años,4,1,742000.0,5.0,0,191400866
1500000000,Carrera 9A # 88 - 45,4.6707282089241,-74.047510385644,"Chico, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191263625,6,No reporta,3,198.0,198.0,más de 30 años,3,2,2048000.0,2.0,0,191263625
1100000000,Carrera 7 B #126 -71,4.702154516569,-74.030707336045,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191619166,6,No reporta,3,128.0,128.0,16 a 30 años,2,2,800000.0,2.0,0,191619166
226500000,Calle 153 # 116 - 49,4.75371,-74.0905272,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191601950,2,No reporta,1,41.0,41.0,1 a 8 años,2,1,173835.0,13.0,0,191601950
279000000,cr 72  no 21,4.6594104272669,-74.119477272034,"La felicidad, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191552439,4,Nuevo,2,45.0,45.0,1 a 8 años,2,1,180000.0,10.0,0,191552439
105000000,"PARQUE NUEVA DELHI, Carrera 13 Este, Bogotá, Colombia",4.5302558,-74.0891662,"Nueva delhi, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191356725,2,No reporta,1,45.0,45.0,1 a 8 años,2,1,70000.0,No reporta,0,191356725
965000000,"Conjunto Residencial Faro Alejandría, Calle 161, Suba, Cundinamarca, Colombia",4.7425743,-74.0548291,"Alejandria, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10649539,5,No reporta,3,220.3,220.3,1 a 8 años,3,2,540000.0,1.0,0,10649539
880000000,CL 122 # 20 - 10,4.7025626525682,-74.051340298981,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191653875,5,No reporta,3,90.0,90.0,1 a 8 años,2,2,900000.0,3.0,0,191653875
620000000,"Calle 127D No. 7C-09, Apto 202",4.707,-74.031,"Bella suiza, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191275583,5,Buen estado,3,112.0,112.0,más de 30 años,2,2,921000.0,2.0,0,191275583
1660000000,CL 105 # 19A - 85,4.6920348978998,-74.053076096481,"Chicó Navarra, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191132139,6,No reporta,5,235.0,235.0,9 a 15 años,3,3,2111000.0,6.0,0,191132139
195000000,"Carrera 96i #20-52, Bogotá, Colombia",4.6728435,-74.140493,"Villemar, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191198942,3,No reporta,1,46.0,44.0,16 a 30 años,2,1,No reporta,3.0,0,191198942
1250000000,Carrera 58C  No. 147-36,4.7356702,-74.0633469,"El plan, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191599265,5,No reporta,4,137.0,137.0,9 a 15 años,3,2,560000.0,1.0,0,191599265
670000000,"Calle 130c #59D-75, Suba, Cundinamarca, Colombia",4.722819,-74.0730571,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191184176,5,No reporta,2,108.0,105.0,1 a 8 años,3,2,554000.0,16.0,0,191184176
680000000,"Avenida Carrera 19 #92-22, Bogotá, Colombia",4.6776132,-74.0551561,"Chico, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10164245,6,No reporta,2,176.0,176.0,No reporta,3,1,No reporta,3.0,0,10164245
1800000000,Cra 19# 85-93,4.6728541170505,-74.056002403141,"Virrey, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11048768,6,No reporta,3,204.0,204.0,9 a 15 años,3,2,No reporta,5.0,0,11048768
375000000,"Ciudad Berna, Bogotá, Colombia",4.585279,-74.0910029,"Ciudad berna, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191086733,3,No reporta,2,61.0,61.0,1 a 8 años,3,1,No reporta,3.0,0,191086733
251500000,"Carrera 19 #183-30, Bogotá, Colombia",4.7608265,-74.0398891,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191209149,3,No reporta,2,58.0,58.0,más de 30 años,3,1,237000.0,1.0,0,191209149
930000000,"Calle 105a #14-52, Bogotá, Colombia",4.6894197,-74.0455133,"Molinos norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11108337,6,No reporta,3,109.0,109.0,1 a 8 años,2,2,885000.0,2.0,0,11108337
358000000,"Calle 160 #57-70, Bogotá, Colombia",4.7435998,-74.0619916,"Cantalejo, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191252813,4,No reporta,2,65.0,65.0,9 a 15 años,3,1,377000.0,13.0,0,191252813
