price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,property_type,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,remodeled
460000000,Carrera 9 C #119 -30,4.697526742098,-74.034272327104,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10923641,6,Apartamento,,2.0,82.00  m2,82.00  m2,más de 30 años,2.0,1.0,"600,000.00",4.0,
480000000,"Carrera 22 #122, Usaquén, Cundinamarca, Colombia",4.7036476,-74.0522504,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191391307,5,Apartamento,,2.0,65.00  m2,,16 a 30 años,2.0,2.0,"605,000.00",3.0,
760000000,"Calle 152b #73b-51, Bogotá, Colombia",4.740226,-74.0693576,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191372301,4,Apartamento,,3.0,107.00  m2,107.00  m2,9 a 15 años,3.0,2.0,"500,000.00",18.0,
1750000000,KR 1 70 94,4.650823,-74.051339,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026395,6,Apartamento,,5.0,360.00  m2,360.00  m2,,5.0,4.0,"2,850,000.00",4.0,
349000000,Calle 168 No. 65-82,4.7525452,-74.063342,"Portales del norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191591457,4,Apartamento,,2.0,74.00  m2,65.00  m2,16 a 30 años,3.0,1.0,"320,500.00",1.0,
690000000,Calle 74 2 20,4.6555969941776,-74.050970526486,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191606240,6,Apartamento,,2.0,80.00  m2,80.00  m2,más de 30 años,2.0,1.0,"723,000.00",2.0,
2180000000,Av Calle 82 # 8 - 61 Edificio Avenida 82 Apto 204,4.665,-74.05,"La cabrera, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11076595,6,Apartamento,Buen estado,4.0,220.00  m2,220.00  m2,más de 30 años,3.0,2.0,"1,365,000.00",,
1590000000,"Barrio Bella Suiza, Bogotá - Usaquén.",4.7074544,-74.0307467,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191503419,6,Apartamento,,4.0,200.00  m2,200.00  m2,16 a 30 años,3.0,2.0,"1,500,000.00",4.0,
153000000,KR 114 148 65 T5 AP 604 CONJ Las Flores,4.75291,-74.101049,"Almendros, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191411358,3,Apartamento,,1.0,39.00  m2,,16 a 30 años,2.0,,"104,700.00",6.0,
900000000,Calle 135 # 7 - 42,4.7137968,-74.0298106,"Bosques del Marques, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191559492,5,Apartamento,,4.0,130.00  m2,,16 a 30 años,3.0,2.0,"600,000.00",12.0,
1060000000,CRA 79 128-95,4.7153345672278,-74.08136844635,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191473017,6,Apartamento,,4.0,180.00  m2,180.00  m2,16 a 30 años,3.0,2.0,"1,044,000.00",,
220000000,Calle 165a,4.7434296,-74.030127,"San cristobal norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11112551,3,Apartamento,,1.0,49.00  m2,49.00  m2,más de 30 años,2.0,,,3.0,
850000000,Carrera 22 #127 D -80,4.712498466852,-74.051288654752,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11104229,5,Apartamento,,3.0,115.00  m2,115.00  m2,16 a 30 años,3.0,2.0,"850,000.00",13.0,
300000000,"Cra. 13a #150-25, Bogotá, Colombia",4.730159,-74.036881,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191349696,4,Apartamento,,2.0,74.00  m2,74.00  m2,más de 30 años,3.0,1.0,"397,000.00",3.0,
1500000000,Carrera 12 No. 101-61,4.6843041725627,-74.044461250305,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10454036,6,Apartamento,,5.0,200.00  m2,200.00  m2,1 a 8 años,4.0,4.0,"1,760,000.00",6.0,
1550000000,Carrera 76A # 131 - 60,4.72692999743248,-74.0755200079063,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10799724,6,Apartamento,,6.0,285.00  m2,285.00  m2,16 a 30 años,5.0,4.0,"1,400,000.00",8.0,
178000000,Calle 152a,4.7542256,-74.0962822,"Plaza Imperial Centro Comercial, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10236505,3,Apartamento,,,54.00  m2,54.00  m2,16 a 30 años,3.0,,,,
1130000000,CL 109 # 21 - 10,4.696862498681,-74.053085107904,"San patricio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191363338,6,Apartamento,,3.0,127.00  m2,127.00  m2,1 a 8 años,3.0,2.0,"1,033,600.00",5.0,
3000000000,Carrera 6 #125 -35,4.700290004118,-74.028010039603,"Santa barbara alta, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191640755,6,Apartamento,,5.0,289.00  m2,,16 a 30 años,5.0,3.0,"1,200,000.00",,
250000000,Calle 144,4.7258658,-74.0422996,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10267320,4,Apartamento,,1.0,49.00  m2,49.00  m2,16 a 30 años,2.0,1.0,"434,000.00",2.0,
748000000,"Carrera 13 118A-06,",4.6979196,-74.0397046,"Multicentro, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191319465,6,Apartamento,Buen estado,3.0,129.00  m2,138.00  m2,16 a 30 años,3.0,2.0,"1,038,000.00",3.0,
1230000000,Calle 96 #21 -75,4.683613795478,-74.051707553787,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191309449,6,Apartamento,,3.0,150.00  m2,150.00  m2,9 a 15 años,3.0,2.0,"1,628,000.00",4.0,
310000000,Calle 32 #5 -33,4.617642008056,-74.066394881376,"San martin, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10793636,3,Apartamento,,1.0,41.00  m2,41.00  m2,menor a 1 año,1.0,,"320,000.00",7.0,
280000000,"Calle 161 #14b-47, Bogotá, Colombia",4.7393179,-74.0365706,"Toberin, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191632112,4,Apartamento,,2.0,54.00  m2,54.00  m2,16 a 30 años,2.0,1.0,"276,000.00",2.0,
